,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,100%,29%,20%,50%,48%,45%,40%,15%,-2%,49%,22%,12%,31%,27%,15%,24%,0%,-32%
1,29%,100%,-11%,13%,19%,10%,5%,17%,9%,22%,24%,3%,11%,12%,-1%,18%,-15%,-23%
2,20%,-11%,100%,2%,5%,1%,17%,9%,6%,12%,3%,11%,4%,14%,-10%,10%,-10%,-8%
3,50%,13%,2%,100%,10%,5%,7%,7%,-3%,31%,11%,5%,20%,16%,9%,10%,0%,-11%
4,48%,19%,5%,10%,100%,7%,10%,8%,-8%,27%,12%,14%,16%,17%,10%,9%,0%,-12%
5,45%,10%,1%,5%,7%,100%,5%,9%,-5%,20%,9%,3%,9%,10%,2%,7%,0%,-13%
6,40%,5%,17%,7%,10%,5%,100%,14%,-3%,24%,18%,10%,10%,9%,1%,20%,0%,-13%
7,15%,17%,9%,7%,8%,9%,14%,100%,-5%,0%,15%,-10%,0%,0%,0%,0%,-15%,-40%
8,-2%,9%,6%,-3%,-8%,-5%,-3%,-5%,100%,-32%,-23%,-8%,-11%,-12%,-13%,-13%,-40%,-18%
9,49%,22%,12%,31%,27%,15%,24%,0%,-32%,100%,29%,20%,50%,48%,45%,40%,15%,-2%
10,22%,24%,3%,11%,12%,-1%,18%,-15%,-23%,29%,100%,-11%,13%,19%,10%,5%,17%,9%
11,12%,3%,11%,4%,14%,-10%,10%,-10%,-8%,20%,-11%,100%,2%,5%,1%,17%,9%,6%
12,31%,11%,5%,20%,16%,9%,10%,0%,-11%,50%,13%,2%,100%,10%,5%,7%,7%,-3%
13,27%,12%,14%,16%,17%,10%,9%,0%,-12%,48%,19%,5%,10%,100%,7%,10%,8%,-8%
14,20%,9%,3%,9%,10%,2%,7%,0%,-13%,45%,10%,1%,5%,7%,100%,5%,9%,-5%
15,24%,18%,10%,10%,9%,1%,20%,0%,-13%,40%,24%,17%,7%,10%,5%,100%,14%,-3%
16,0%,15%,-10%,0%,0%,0%,0%,-15%,-40%,15%,17%,9%,7%,8%,9%,14%,100%,-5%
17,-32%,-23%,-8%,-11%,-12%,-13%,-13%,-40%,-18%,-2%,9%,6%,-3%,-8%,-5%,-3%,-5%,100%