,qb,rb1,rb2,rb3,wr1,wr2,wr3,wr4,wr5,te1,te2,k,dst,opp qb,opp rb1,opp rb2,opp rb3,opp wr1,opp wr2,opp wr3,opp wr4,opp wr5,opp te1,opp te2,opp k,opp dst
qb,1,0.073687158,-0.04826032,0.030233224,0.398552477,0.338673885,0.308976216,0.162421363,0.127097029,0.299106668,0.009241818,0.15,-0.025248586,0.228767985,0.045775789,0.001869073,-0.043925865,0.089076274,0.106937315,0.005591029,0.013813273,-0.039769762,0.106719368,0.053696359,0,-0.381327016
rb1,0.073687158,1,-0.126368845,-0.16795902,-0.009297585,-0.004933155,-0.030190296,-0.011657576,-0.075593258,-0.054093131,0.044449085,0.17,0.077497483,0.045775789,-0.037261498,-0.077256024,0.041604072,-0.030259398,0.06386386,0.013299674,0.036015386,-0.027409478,-0.012018026,-0.05123392,-0.15,-0.284533992
rb2,-0.04826032,-0.126368845,1,-0.082739587,-0.066811673,-0.12997692,-0.007928918,0.017890411,-0.027415639,-0.037612573,0.083541464,0.09,-0.004604075,0.001869073,-0.077256024,0.00801645,0.020189534,0.022259638,0.028363833,-0.022222971,-0.057188234,0.009401957,0.021475919,0.021517737,-0.1,-0.071312047
rb3,0.030233224,-0.16795902,-0.082739587,1,0.050076634,-0.043547685,-0.051394122,0.015130555,0.119829249,0.033336361,-0.09904044,0.05,-0.011185981,-0.043925865,0.041604072,0.020189534,-0.003130765,-0.01302381,-0.055002109,-0.023994642,0.066363359,0.0014017,0.009010417,0.067853844,-0.03,-0.041460949
wr1,0.398552477,-0.009297585,-0.066811673,0.050076634,1,0.032201228,0.049382863,0.04844272,-0.041370588,-0.014287077,-0.084643333,0.07,0.019696214,0.089076274,-0.030259398,0.022259638,-0.01302381,0.013550238,0.026085575,-0.014397866,-0.055526138,0.032332225,0.142053167,0.040615005,0,-0.172144281
wr2,0.338673885,-0.004933155,-0.12997692,-0.043547685,0.032201228,1,0.036175118,-0.078078604,-0.081217699,-0.010108696,-0.051535613,0.08,-0.079810082,0.106937315,0.06386386,0.028363833,-0.055002109,0.026085575,0.017417747,-0.006391373,0.071346951,0.000927366,0.114055116,-0.017526602,0,-0.078691532
wr3,0.308976216,-0.030190296,-0.007928918,-0.051394122,0.049382863,0.036175118,1,-0.042220359,0.001507103,-0.011149971,-0.057062857,0.09,-0.027875567,0.005591029,0.013299674,-0.022222971,-0.023994642,-0.014397866,-0.006391373,0.050244879,0.030635941,0.02981602,-0.026382287,-0.060665159,0,-0.092203455
wr4,0.162421363,-0.011657576,0.017890411,0.015130555,0.04844272,-0.078078604,-0.042220359,1,0.031138826,0.002698111,-0.057136797,0.07,0.020708832,0.013813273,0.036015386,-0.057188234,0.066363359,-0.055526138,0.071346951,0.030635941,0.138951904,-0.008870119,-0.041682731,-0.052813481,0,-0.030713958
wr5,0.127097029,-0.075593258,-0.027415639,0.119829249,-0.041370588,-0.081217699,0.001507103,0.031138826,1,-0.010940543,-0.005062263,0.05,-0.01315281,-0.039769762,-0.027409478,0.009401957,0.0014017,0.032332225,0.000927366,0.02981602,-0.008870119,-0.006859668,-0.109394934,0.053495725,0,-0.009699884
te1,0.299106668,-0.054093131,-0.037612573,0.033336361,-0.014287077,-0.010108696,-0.011149971,0.002698111,-0.010940543,1,-0.097811455,0.14,-0.068388543,0.106719368,-0.012018026,0.021475919,0.009010417,0.142053167,0.114055116,-0.026382287,-0.041682731,-0.109394934,0.063692486,0.000576577,0,-0.017029061
te2,0.009241818,0.044449085,0.083541464,-0.09904044,-0.084643333,-0.051535613,-0.057062857,-0.057136797,-0.005062263,-0.097811455,1,0.08,-0.010778575,0.053696359,-0.05123392,0.021517737,0.067853844,0.040615005,-0.017526602,-0.060665159,-0.052813481,0.053495725,0.000576577,-0.015736092,0,-0.110919763
k,0.15,0.17,0.09,0.05,0.07,0.08,0.09,0.07,0.05,0.14,0.08,1,0.23,0,-0.15,-0.1,-0.03,0,0,0,0,0,0,0,-0.15,-0.4
dst,-0.025248586,0.077497483,-0.004604075,-0.011185981,0.019696214,-0.079810082,-0.027875567,0.020708832,-0.01315281,-0.068388543,-0.010778575,0.23,1,-0.381327016,-0.284533992,-0.071312047,-0.041460949,-0.172144281,-0.078691532,-0.092203455,-0.030713958,-0.009699884,-0.017029061,-0.110919763,-0.4,-0.385738815
opp qb,0.228767985,0.045775789,0.001869073,-0.043925865,0.089076274,0.106937315,0.005591029,0.013813273,-0.039769762,0.106719368,0.053696359,0,-0.381327016,1,0.073687158,-0.04826032,0.030233224,0.398552477,0.338673885,0.308976216,0.162421363,0.127097029,0.299106668,0.009241818,0.15,-0.025248586
opp rb1,0.045775789,-0.037261498,-0.077256024,0.041604072,-0.030259398,0.06386386,0.013299674,0.036015386,-0.027409478,-0.012018026,-0.05123392,-0.15,-0.284533992,0.073687158,1,-0.126368845,-0.16795902,-0.009297585,-0.004933155,-0.030190296,-0.011657576,-0.075593258,-0.054093131,0.044449085,0.17,0.077497483
opp rb2,0.001869073,-0.077256024,0.00801645,0.020189534,0.022259638,0.028363833,-0.022222971,-0.057188234,0.009401957,0.021475919,0.021517737,-0.1,-0.071312047,-0.04826032,-0.126368845,1,-0.082739587,-0.066811673,-0.12997692,-0.007928918,0.017890411,-0.027415639,-0.037612573,0.083541464,0.09,-0.004604075
opp rb3,-0.043925865,0.041604072,0.020189534,-0.003130765,-0.01302381,-0.055002109,-0.023994642,0.066363359,0.0014017,0.009010417,0.067853844,-0.03,-0.041460949,0.030233224,-0.16795902,-0.082739587,1,0.050076634,-0.043547685,-0.051394122,0.015130555,0.119829249,0.033336361,-0.09904044,0.05,-0.011185981
opp wr1,0.089076274,-0.030259398,0.022259638,-0.01302381,0.013550238,0.026085575,-0.014397866,-0.055526138,0.032332225,0.142053167,0.040615005,0,-0.172144281,0.398552477,-0.009297585,-0.066811673,0.050076634,1,0.032201228,0.049382863,0.04844272,-0.041370588,-0.014287077,-0.084643333,0.07,0.019696214
opp wr2,0.106937315,0.06386386,0.028363833,-0.055002109,0.026085575,0.017417747,-0.006391373,0.071346951,0.000927366,0.114055116,-0.017526602,0,-0.078691532,0.338673885,-0.004933155,-0.12997692,-0.043547685,0.032201228,1,0.036175118,-0.078078604,-0.081217699,-0.010108696,-0.051535613,0.08,-0.079810082
opp wr3,0.005591029,0.013299674,-0.022222971,-0.023994642,-0.014397866,-0.006391373,0.050244879,0.030635941,0.02981602,-0.026382287,-0.060665159,0,-0.092203455,0.308976216,-0.030190296,-0.007928918,-0.051394122,0.049382863,0.036175118,1,-0.042220359,0.001507103,-0.011149971,-0.057062857,0.09,-0.027875567
opp wr4,0.013813273,0.036015386,-0.057188234,0.066363359,-0.055526138,0.071346951,0.030635941,0.138951904,-0.008870119,-0.041682731,-0.052813481,0,-0.030713958,0.162421363,-0.011657576,0.017890411,0.015130555,0.04844272,-0.078078604,-0.042220359,1,0.031138826,0.002698111,-0.057136797,0.07,0.020708832
opp wr5,-0.039769762,-0.027409478,0.009401957,0.0014017,0.032332225,0.000927366,0.02981602,-0.008870119,-0.006859668,-0.109394934,0.053495725,0,-0.009699884,0.127097029,-0.075593258,-0.027415639,0.119829249,-0.041370588,-0.081217699,0.001507103,0.031138826,1,-0.010940543,-0.005062263,0.05,-0.01315281
opp te1,0.106719368,-0.012018026,0.021475919,0.009010417,0.142053167,0.114055116,-0.026382287,-0.041682731,-0.109394934,0.063692486,0.000576577,0,-0.017029061,0.299106668,-0.054093131,-0.037612573,0.033336361,-0.014287077,-0.010108696,-0.011149971,0.002698111,-0.010940543,1,-0.097811455,0.14,-0.068388543
opp te2,0.053696359,-0.05123392,0.021517737,0.067853844,0.040615005,-0.017526602,-0.060665159,-0.052813481,0.053495725,0.000576577,-0.015736092,0,-0.110919763,0.009241818,0.044449085,0.083541464,-0.09904044,-0.084643333,-0.051535613,-0.057062857,-0.057136797,-0.005062263,-0.097811455,1,0.08,-0.010778575
opp k,0,-0.15,-0.1,-0.03,0,0,0,0,0,0,0,-0.15,-0.4,0.15,0.17,0.09,0.05,0.07,0.08,0.09,0.07,0.05,0.14,0.08,1,0.23
opp dst,-0.381327016,-0.284533992,-0.071312047,-0.041460949,-0.172144281,-0.078691532,-0.092203455,-0.030713958,-0.009699884,-0.017029061,-0.110919763,-0.4,-0.385738815,-0.025248586,0.077497483,-0.004604075,-0.011185981,0.019696214,-0.079810082,-0.027875567,0.020708832,-0.01315281,-0.068388543,-0.010778575,0.23,1