,qb,rb1,rb2,wr1,wr2,wr3,te,k,dst,opp qb,opp rb1,opp rb2,opp wr1,opp wr2,opp wr3,opp te,opp k,opp dst
qb,1,0.29,0.2,0.5,0.48,0.45,0.4,0.15,-0.02,0.49,0.22,0.12,0.31,0.27,0.15,0.24,0,-0.32
rb1,0.29,1,-0.11,0.13,0.19,0.1,0.05,0.17,0.09,0.22,0.24,0.03,0.11,0.12,-0.01,0.18,-0.15,-0.23
rb2,0.2,-0.11,1,0.02,0.05,0.01,0.17,0.09,0.06,0.12,0.03,0.11,0.04,0.14,-0.1,0.1,-0.1,-0.08
wr1,0.5,0.13,0.02,1,0.1,0.05,0.07,0.07,-0.03,0.31,0.11,0.05,0.2,0.16,0.09,0.1,0,-0.11
wr2,0.48,0.19,0.05,0.1,1,0.07,0.1,0.08,-0.08,0.27,0.12,0.14,0.16,0.17,0.1,0.09,0,-0.12
wr3,0.45,0.1,0.01,0.05,0.07,1,0.05,0.09,-0.05,0.2,0.09,0.03,0.09,0.1,0.02,0.07,0,-0.13
te,0.4,0.05,0.17,0.07,0.1,0.05,1,0.14,-0.03,0.24,0.18,0.1,0.1,0.09,0.01,0.2,0,-0.13
k,0.15,0.17,0.09,0.07,0.08,0.09,0.14,1,-0.05,0,0.15,-0.1,0,0,0,0,-0.15,-0.4
dst,-0.02,0.09,0.06,-0.03,-0.08,-0.05,-0.03,-0.05,1,-0.32,-0.23,-0.08,-0.11,-0.12,-0.13,-0.13,-0.4,-0.18
opp qb,0.49,0.22,0.12,0.31,0.27,0.15,0.24,0,-0.32,1,0.29,0.2,0.5,0.48,0.45,0.4,0.15,-0.02
opp rb1,0.22,0.24,0.03,0.11,0.12,-0.01,0.18,-0.15,-0.23,0.29,1,-0.11,0.13,0.19,0.1,0.05,0.17,0.09
opp rb2,0.12,0.03,0.11,0.04,0.14,-0.1,0.1,-0.1,-0.08,0.2,-0.11,1,0.02,0.05,0.01,0.17,0.09,0.06
opp wr1,0.31,0.11,0.05,0.2,0.16,0.09,0.1,0,-0.11,0.5,0.13,0.02,1,0.1,0.05,0.07,0.07,-0.03
opp wr2,0.27,0.12,0.14,0.16,0.17,0.1,0.09,0,-0.12,0.48,0.19,0.05,0.1,1,0.07,0.1,0.08,-0.08
opp wr3,0.2,0.09,0.03,0.09,0.1,0.02,0.07,0,-0.13,0.45,0.1,0.01,0.05,0.07,1,0.05,0.09,-0.05
opp te,0.24,0.18,0.1,0.1,0.09,0.01,0.2,0,-0.13,0.4,0.24,0.17,0.07,0.1,0.05,1,0.14,-0.03
opp k,0,0.15,-0.1,0,0,0,0,-0.15,-0.4,0.15,0.17,0.09,0.07,0.08,0.09,0.14,1,-0.05
opp dst,-0.32,-0.23,-0.08,-0.11,-0.12,-0.13,-0.13,-0.4,-0.18,-0.02,0.09,0.06,-0.03,-0.08,-0.05,-0.03,-0.05,1