,qb,rb1,rb2,wr1,wr2,wr3,te,dst,opp qb,opp rb1,opp rb2,opp wr1,opp wr2,opp wr3,opp te,opp dst
qb,1,0.15,0.12,0.4,0.33,0.27,0.33,-0.03,0.29,0.09,0.04,0.12,0.19,0.17,0.17,-0.37
rb1,0.15,1,-0.07,0.06,0.05,0.03,0.03,0.06,0.09,0.05,0.01,0.1,0.08,0.04,0.04,-0.22
rb2,0.12,-0.07,1,0.05,-0.02,0.06,0.09,0.06,0.04,0.01,-0.01,0.01,0,0,0.08,-0.09
wr1,0.4,0.06,0.05,1,-0.03,-0.04,0.11,-0.05,0.12,0.1,0.01,0.02,0.12,0.09,0.08,-0.14
wr2,0.33,0.05,-0.02,-0.03,1,-0.01,-0.01,-0.04,0.19,0.08,0,0.12,0.05,0.05,0.05,-0.16
wr3,0.27,0.03,0.06,-0.04,-0.01,1,-0.01,-0.04,0.18,0.07,0,0.09,0.02,0.02,0.09,-0.15
te,0.33,0.03,0.09,0.11,-0.01,-0.01,1,-0.06,0.17,0.04,0.08,0.08,0.05,0.03,0.12,-0.11
dst,-0.03,0.06,0.06,-0.05,-0.04,-0.04,-0.06,1,-0.37,-0.22,-0.09,-0.14,-0.16,-0.15,-0.11,-0.12
opp qb,0.29,0.09,0.04,0.12,0.19,0.18,0.17,-0.37,1,0.15,0.12,0.4,0.33,0.27,0.33,-0.03
opp rb1,0.09,0.05,0.01,0.1,0.08,0.07,0.04,-0.22,0.29,1,-0.07,0.06,0.05,0.03,0.03,0.06
opp rb2,0.04,0.01,-0.01,0.01,0,0,0.08,-0.09,0.2,-0.11,1,0.05,-0.02,0.06,0.09,0.06
opp wr1,0.12,0.1,0.01,0.02,0.12,0.09,0.08,-0.14,0.5,0.13,0.02,1,-0.03,-0.04,0.11,-0.05
opp wr2,0.19,0.08,0,0.12,0.05,0.02,0.05,-0.16,0.48,0.19,0.05,0.1,1,-0.01,-0.01,-0.04
opp wr3,0.17,0.04,0,0.09,0.05,0.02,0.03,-0.15,0.45,0.1,0.01,0.05,0.07,1,-0.01,-0.04
opp te,0.17,0.04,0.08,0.08,0.05,0.09,0.12,-0.11,0.4,0.24,0.17,0.07,0.1,0.05,1,-0.06
opp dst,-0.37,-0.22,-0.09,-0.14,-0.16,-0.15,-0.11,-0.12,-0.02,0.09,0.06,-0.03,-0.08,-0.05,-0.03,1